Variable,Coeficiente,Importancia_absoluta,Signo
EdadMa_best,-0.9974309403937844,0.9974309403937844,-1.0
Moho_Z_best,0.4546821820554645,0.4546821820554645,1.0
Bario_ppm_best,0.36562952395310205,0.36562952395310205,1.0
Bismuto_ppm_best,0.17870619590357675,0.17870619590357675,1.0
Cromo_ppm_best,0.17319190830955386,0.17319190830955386,1.0
Mercurio_ppm_best,0.028447900369394364,0.028447900369394364,1.0
Azufre_ppm_best,0.027121483240308445,0.027121483240308445,1.0
Moho_Z_var,-0.01293936751307244,0.01293936751307244,-1.0
Antimonio_ppm_best,-0.007437030238562039,0.007437030238562039,-1.0
Plata_ppm_best,-0.0018406747824955207,0.0018406747824955207,-1.0
