method,cv,p,k,radius,rmse,mae,r2,variable,variogram_model
IDW,5-fold,2.0,12.0,,282.64487112023403,99.26671781706916,0.06475131958278546,EdadMa_best,
IDW,5-fold,2.0,24.0,,280.0482791140777,97.57728523218277,0.08185620739174726,EdadMa_best,
IDW,5-fold,2.0,12.0,,2.959245996158981,2.37344502835267,0.7865732345619816,Moho_Z_best,
IDW,5-fold,2.0,24.0,,3.4799346376243885,2.877355806245245,0.7048594251607982,Moho_Z_best,
OK,5-fold,,,,1.580400985297076,1.1011512471493994,0.939127473320294,Moho_Z_best,spherical
IDW,5-fold,2.0,12.0,,602.6388169914266,255.93395404039674,0.2891586157192134,Bario_ppm_best,
IDW,5-fold,2.0,24.0,,594.9564085466885,254.84509230663585,0.3071666350982267,Bario_ppm_best,
IDW,5-fold,2.0,12.0,,2804.495483903199,597.947453319585,-0.1592256045742606,Azufre_ppm_best,
IDW,5-fold,2.0,24.0,,2763.4951334292878,594.3919004219388,-0.12557874473839337,Azufre_ppm_best,
IDW,5-fold,2.0,12.0,,277.6589999134603,79.33538122174222,0.07899626725613795,Cromo_ppm_best,
IDW,5-fold,2.0,24.0,,274.8825897395448,78.98459536318646,0.09732306049513273,Cromo_ppm_best,
IDW,5-fold,2.0,12.0,,165.0256435084081,13.725488846331574,0.10005950883744308,Plata_ppm_best,
IDW,5-fold,2.0,24.0,,167.6314953696908,14.140304503660456,0.07141393717157518,Plata_ppm_best,
IDW,5-fold,2.0,12.0,,0.9912050182142828,0.13116329255250808,-0.4431121103407074,Bismuto_ppm_best,
IDW,5-fold,2.0,24.0,,0.9670046788677972,0.1291962996331812,-0.37350497838246555,Bismuto_ppm_best,
IDW,5-fold,2.0,12.0,,0.5416969440301105,0.07177543698633018,-0.16302534136072966,Mercurio_ppm_best,
IDW,5-fold,2.0,24.0,,0.538659857377787,0.07193281847264546,-0.1500206275232645,Mercurio_ppm_best,
IDW,5-fold,2.0,12.0,,6.785219169070028,1.1175571654167018,0.320645743425237,Antimonio_ppm_best,
IDW,5-fold,2.0,24.0,,6.6705636952426905,1.1095134041737615,0.34341098713409,Antimonio_ppm_best,
