IG_EST,IG_DEP,IG_MUN,IG_POB,IG_LAT_W84,IG_LON_W84,D_PR_PAL1,D_MI_PAL1,D_CLAS_DEP,R_RO_HUES,EdadMa_best,Moho_Z_best,Moho_Z_var,Bario_ppm_best,Azufre_ppm_best,Cromo_ppm_best,Plata_ppm_best,Bismuto_ppm_best,Mercurio_ppm_best,Antimonio_ppm_best,X,Y
Ocurrencia,Caldas,Neira,Neira,5.157379,-75.60561,Crisotilo-Mg3Si2O5(OH)4,Crisotilo-Mg3(Si2O5)(OH)4,Asociado_a_magmas_máficos_básicos,ROCA_METAMÓRFICA,74.16409706165247,44.76112214393571,8.73255575559536,477.7121561099368,198.1595238621022,211.46222689254424,0.24334358958762592,0.12632657512628528,6.428673653475369e-05,0.33898224812181704,-75.60561,5.157379
Productor - Cielo abierto,Caldas,Filadelfia,Filadelfia,5.330765,-75.55583,Crisotilo-Mg3Si2O5(OH)4,Crisotilo-Mg3(Si2O5)(OH)4,Asociado_a_magmas_máficos_básicos,ROCA_METAMÓRFICA,24.469879894147294,46.62124534815997,8.379027710490995,156.13069241692443,2756.142411657449,626.2537420620278,0.1113057999833165,0.1479299735278017,0.0001192343874641426,0.6811670233592367,-75.55583,5.330765
Productor - Cielo abierto,Caldas,La Merced,La Merced,5.385162,-75.563087,Talco-Mg3Si4O10(OH)2,Talco-Mg3Si4O10(OH)2,Asociado_a_magmas_máficos_básicos,ROCA_METAMÓRFICA,31.422562568804526,47.03010448494979,7.0717672502241555,438.038815550111,1735.0634490372236,1046.9712625853458,0.14258868365244043,0.11532619797427972,0.004203465907117639,1.0857993897767317,-75.563087,5.385162
Productor - Cielo abierto,Caldas,La Merced,La Merced,5.401767,-75.55408,Crisotilo-Mg3Si2O5(OH)4,Crisotilo-Mg3(Si2O5)(OH)4,Asociado_a_magmas_máficos_básicos,ROCA_METAMÓRFICA,43.68310408669295,47.27153455533178,6.36213225205364,727.9569274490857,1927.8351582947514,253.89655800012906,0.15055845600088902,0.12252731958601017,0.01671255199068262,1.5161819303497184,-75.55408,5.401767
Productor - Cielo abierto,Caldas,Aguadas,Pácora,5.537187,-75.46792,Crisotilo-Mg3Si2O5(OH)4,Crisotilo-Mg3(Si2O5)(OH)4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,75.34929720667783,49.48881506056171,3.261512920890908,160.2526635127566,1467.574207269073,201.68487675983687,0.10596838087263483,0.10021289446354524,0.004635347456112022,0.13441708755373794,-75.46792,5.537187
Productor pasado - Cielo abierto,Antioquia,Envigado,Envigado,6.154063,-75.50255,Cromo-Cr,Cromita-Fe+2Cr2O4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,398.9150012202239,52.4827819387451,7.703717387234072,359.4180531545541,320.2683556141243,463.1443627648625,1.5480942279840635,0.24980865532822494,0.03091844689744466,0.8543382344140052,-75.50255,6.154063
Ocurrencia,Antioquia,Medellín,Medellín,6.156155,-75.488802,Cromo-Cr,<Nulo>,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,625.3473494386635,52.609475999392025,7.771634874191563,328.67651874637284,332.54703033885863,402.31874478096057,1.8273011713588576,0.28547461045393835,0.03223607881169299,0.8577165344036585,-75.488802,6.156155
Productor pasado - Cielo abierto,Antioquia,Envigado,Envigado,6.176904,-75.50795,Cromo-Cr,Cromita-Fe+2Cr2O4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,303.30181926947716,52.14094012728339,8.248186563074196,282.8030261901051,218.82049169228324,749.1828752299556,1.5585623183195934,0.25928428456056,0.03108942270374556,0.5728904478110765,-75.50795,6.176904
Productor pasado - Cielo abierto,Antioquia,Envigado,Envigado,6.177848,-75.5079,Cromo-Cr,Cromita-Fe+2Cr2O4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,315.1203594937223,52.13021680021906,8.26720567885651,283.91371009171513,218.28049570652814,761.9707169088589,1.5606631383907321,0.25710667553025174,0.031075042348216887,0.5718530499018639,-75.5079,6.177848
Productor pasado - Cielo abierto,Antioquia,Medellín,Medellín,6.185087,-75.51457,Cromo-Cr,<Nulo>,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,399.56025601265264,51.96232262749258,8.416702093374546,286.00338950458996,166.05085252372243,1080.602524782953,1.4351506132296448,0.21064586943694039,0.03187657179618398,0.5658592462864134,-75.51457,6.185087
