variable,coef,abs_coef,signo
EdadMa_best_WX,-0.6600785250373005,0.6600785250373005,-1.0
Bario_ppm_best_WX,0.489042029566644,0.489042029566644,1.0
Bismuto_ppm_best_WX,0.40140841430918367,0.40140841430918367,1.0
Moho_Z_var_WX,-0.2733499308395941,0.2733499308395941,-1.0
Moho_Z_best_WX,0.27293277868700555,0.27293277868700555,1.0
Moho_Z_var,0.21582487275932535,0.21582487275932535,1.0
Moho_Z_best,0.20539473948219972,0.20539473948219972,1.0
EdadMa_best,-0.2037322810629999,0.2037322810629999,-1.0
Cromo_ppm_best_WX,0.20367016420344505,0.20367016420344505,1.0
Bismuto_ppm_best,-0.13795853999440644,0.13795853999440644,-1.0
Mercurio_ppm_best,-0.06832594983748715,0.06832594983748715,-1.0
Antimonio_ppm_best,0.06417834368289389,0.06417834368289389,1.0
Antimonio_ppm_best_WX,0.06187165518572472,0.06187165518572472,1.0
Mercurio_ppm_best_WX,0.060879035872055606,0.060879035872055606,1.0
Azufre_ppm_best_WX,0.05256477649732834,0.05256477649732834,1.0
Bario_ppm_best,0.025811688101790863,0.025811688101790863,1.0
Cromo_ppm_best,0.021139233710110346,0.021139233710110346,1.0
Plata_ppm_best_WX,-0.011431474015297883,0.011431474015297883,-1.0
Azufre_ppm_best,-0.0056467980058384215,0.0056467980058384215,-1.0
Plata_ppm_best,0.005569010251278336,0.005569010251278336,1.0
