,IG_LAT_W84,IG_LON_W84,EdadMa_best,Moho_Z_best,Moho_Z_var,Bario_ppm_best,Azufre_ppm_best,Cromo_ppm_best,Plata_ppm_best,Bismuto_ppm_best,Mercurio_ppm_best,Antimonio_ppm_best,X,Y
IG_LAT_W84,1.0,0.3208052260270991,0.37417665859858185,-0.07553096394334859,0.13806306480048441,-0.4748555670273546,-0.06920298865348944,-0.06812756999319475,-0.07601321894728891,0.07936057526259238,-0.46074847617002984,-0.1679184290648005,0.3208052260270991,1.0
IG_LON_W84,0.3208052260270991,1.0,0.4371612469693129,0.6438128436717693,0.023691184520934116,-0.10555250315491684,-0.22313366825978564,0.02243541270173818,-0.12594505863083386,-0.3178643782973052,-0.023919835653662378,-0.12545283931837464,1.0,0.32080522602709904
EdadMa_best,0.37417665859858185,0.4371612469693129,1.0,0.3602774126828375,0.29395066054358987,-0.22784822563448326,-0.15465168395212492,0.4107725354163755,-0.0873789299457691,-0.17807651960941437,-0.22966620356847128,-0.1775091169355893,0.4371612469693134,0.3741766585985817
Moho_Z_best,-0.07553096394334859,0.6438128436717693,0.3602774126828375,1.0,0.022288373233668307,-0.07938953235719501,-0.2302456239814509,0.14886249482209157,-0.08565308986844293,-0.3203793122077826,-0.16921932097903158,-0.15309011197932323,0.6438128436717693,-0.07553096394334857
Moho_Z_var,0.13806306480048441,0.023691184520934116,0.29395066054358987,0.022288373233668307,1.0,-0.03890461801544557,-0.0597827460248769,-0.02560631647984316,-0.1254551856063792,-0.0680143587794869,-0.310040920362754,-0.12010379087747296,0.02369118452093457,0.13806306480048441
Bario_ppm_best,-0.4748555670273546,-0.10555250315491684,-0.22784822563448326,-0.07938953235719501,-0.03890461801544557,1.0,-0.0974557150920169,-0.07596012936761429,0.0277137107152288,-0.12416092126884416,0.3925495711277666,0.04165945600285382,-0.10555250315491711,-0.4748555670273546
Azufre_ppm_best,-0.06920298865348944,-0.22313366825978564,-0.15465168395212492,-0.2302456239814509,-0.0597827460248769,-0.0974557150920169,1.0,-0.04706291534753583,0.012453110758808554,0.5812167029127594,0.1798052601644944,0.7877874457166167,-0.22313366825978517,-0.06920298865348941
Cromo_ppm_best,-0.06812756999319475,0.02243541270173818,0.4107725354163755,0.14886249482209157,-0.02560631647984316,-0.07596012936761429,-0.04706291534753583,1.0,0.004966229010436742,-0.09969843901253643,0.07976138443299793,-0.034364157987090145,0.022435412701738686,-0.06812756999319484
Plata_ppm_best,-0.07601321894728891,-0.12594505863083386,-0.0873789299457691,-0.08565308986844293,-0.1254551856063792,0.0277137107152288,0.012453110758808554,0.004966229010436742,1.0,0.13962089658949384,0.28214955434338007,0.07117971172054471,-0.1259450586308341,-0.07601321894728894
Bismuto_ppm_best,0.07936057526259238,-0.3178643782973052,-0.17807651960941437,-0.3203793122077826,-0.0680143587794869,-0.12416092126884416,0.5812167029127594,-0.09969843901253643,0.13962089658949384,1.0,-0.049840583678946906,0.33285243275760695,-0.31786437829730535,0.07936057526259237
Mercurio_ppm_best,-0.46074847617002984,-0.023919835653662378,-0.22966620356847128,-0.16921932097903158,-0.310040920362754,0.3925495711277666,0.1798052601644944,0.07976138443299793,0.28214955434338007,-0.049840583678946906,1.0,0.306168218002175,-0.023919835653662562,-0.46074847617002973
Antimonio_ppm_best,-0.1679184290648005,-0.12545283931837464,-0.1775091169355893,-0.15309011197932323,-0.12010379087747296,0.04165945600285382,0.7877874457166167,-0.034364157987090145,0.07117971172054471,0.33285243275760695,0.306168218002175,1.0,-0.12545283931837498,-0.1679184290648005
X,0.3208052260270991,1.0,0.4371612469693134,0.6438128436717693,0.02369118452093457,-0.10555250315491711,-0.22313366825978517,0.022435412701738686,-0.1259450586308341,-0.31786437829730535,-0.023919835653662562,-0.12545283931837498,1.0,0.32080522602709904
Y,1.0,0.32080522602709904,0.3741766585985817,-0.07553096394334857,0.13806306480048441,-0.4748555670273546,-0.06920298865348941,-0.06812756999319484,-0.07601321894728894,0.07936057526259237,-0.46074847617002973,-0.1679184290648005,0.32080522602709904,1.0
