IG_EST,IG_DEP,IG_MUN,IG_POB,IG_LAT_W84,IG_LON_W84,D_PR_PAL1,D_MI_PAL1,D_CLAS_DEP,R_RO_HUES,X,Y
Ocurrencia,Caldas,Neira,Neira,5.157379,-75.60561,Crisotilo-Mg3Si2O5(OH)4,Crisotilo-Mg3(Si2O5)(OH)4,Asociado_a_magmas_máficos_básicos,ROCA_METAMÓRFICA,-75.60561,5.157379
Productor - Cielo abierto,Caldas,Filadelfia,Filadelfia,5.330765,-75.55583,Crisotilo-Mg3Si2O5(OH)4,Crisotilo-Mg3(Si2O5)(OH)4,Asociado_a_magmas_máficos_básicos,ROCA_METAMÓRFICA,-75.55583,5.330765
Productor - Cielo abierto,Caldas,La Merced,La Merced,5.385162,-75.563087,Talco-Mg3Si4O10(OH)2,Talco-Mg3Si4O10(OH)2,Asociado_a_magmas_máficos_básicos,ROCA_METAMÓRFICA,-75.563087,5.385162
Productor - Cielo abierto,Caldas,La Merced,La Merced,5.401767,-75.55408,Crisotilo-Mg3Si2O5(OH)4,Crisotilo-Mg3(Si2O5)(OH)4,Asociado_a_magmas_máficos_básicos,ROCA_METAMÓRFICA,-75.55408,5.401767
Productor - Cielo abierto,Caldas,Aguadas,Pácora,5.537187,-75.46792,Crisotilo-Mg3Si2O5(OH)4,Crisotilo-Mg3(Si2O5)(OH)4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,-75.46792,5.537187
Productor pasado - Cielo abierto,Antioquia,Envigado,Envigado,6.154063,-75.50255,Cromo-Cr,Cromita-Fe+2Cr2O4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,-75.50255,6.154063
Ocurrencia,Antioquia,Medellín,Medellín,6.156155,-75.488802,Cromo-Cr,<Nulo>,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,-75.488802,6.156155
Productor pasado - Cielo abierto,Antioquia,Envigado,Envigado,6.176904,-75.50795,Cromo-Cr,Cromita-Fe+2Cr2O4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,-75.50795,6.176904
Productor pasado - Cielo abierto,Antioquia,Envigado,Envigado,6.177848,-75.5079,Cromo-Cr,Cromita-Fe+2Cr2O4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,-75.5079,6.177848
Productor pasado - Cielo abierto,Antioquia,Medellín,Medellín,6.185087,-75.51457,Cromo-Cr,<Nulo>,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,-75.51457,6.185087
Productor pasado - Cielo abierto,Antioquia,Medellín,Medellín,6.186832,-75.5274,Cromo-Cr,Cromita-Fe+2Cr2O4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,-75.5274,6.186832
Productor pasado - Cielo abierto,Antioquia,Medellín,Medellín,6.189506,-75.52061,Cromo-Cr,Cromita-Fe+2Cr2O4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,-75.52061,6.189506
Productor pasado - Cielo abierto,Antioquia,Medellín,Medellín,6.189593,-75.522606,Cromo-Cr,Cromita-Fe+2Cr2O4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,-75.522606,6.189593
Productor pasado - Cielo abierto,Antioquia,Medellín,Medellín,6.195197,-75.52227,Cromo-Cr,Cromita-Fe+2Cr2O4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,-75.52227,6.195197
Productor pasado - Cielo abierto,Antioquia,Medellín,Medellín,6.196714,-75.52684,Cromo-Cr,Cromita-Fe+2Cr2O4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,-75.52684,6.196714
Ocurrencia,Antioquia,Medellín,Medellín,6.272201,-75.532875,Cromo-Cr,Cromita-Fe+2Cr2O4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,-75.532875,6.272201
Productor pasado - Cielo abierto,Antioquia,Bello,Bello,6.396567,-75.56212,Cromo-Cr,Cromita-Fe+2Cr2O4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,-75.56212,6.396567
Productor pasado - Cielo abierto,Antioquia,Bello,Bello,6.396794,-75.562035,Cromo-Cr,Cromita-Fe+2Cr2O4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,-75.562035,6.396794
Productor pasado - Cielo abierto,Antioquia,Bello,Bello,6.396983,-75.56202,Cromo-Cr,Cromita-Fe+2Cr2O4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,-75.56202,6.396983
Productor pasado - Cielo abierto,Antioquia,Bello,Bello,6.398262,-75.56398,Cromo-Cr,Cromita-Fe+2Cr2O4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,-75.56398,6.398262
Productor - Cielo abierto,Antioquia,Yarumal,Yarumal,6.996571,-75.381958,Talco-Mg3Si4O10(OH)2,Talco-Mg3Si4O10(OH)2,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,-75.381958,6.996571
Ocurrencia,Caldas,Neira,Anserma,5.2514,-75.6833,Uranio-U,<Nulo>,Depósitos_Uranio,ROCA_ÍGNEA_PLUTÓNICA,-75.6833,5.2514
Prospecto desarrollado,Caldas,Samaná,Norcasia,5.5856,-74.9661,Uranio-U,Uraninita-UO2,Depósitos_Uranio,ROCA_SEDIMENTARIA,-74.9661,5.5856
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.939749,-75.420014,Oro-Au,Oro-Au,Epitermal,ROCA_ÍGNEA_VOLCÁNICA,-75.420014,4.939749
Ocurrencia,Caldas,Villamaría,La Enea,4.942165,-75.43691,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.43691,4.942165
Prospecto,Caldas,Villamaría,La Enea,4.946926,-75.438254,Oro-Au,Pirita-FeS2,Epitermal,ROCA_METAMÓRFICA,-75.438254,4.946926
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947356,-75.435858,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.435858,4.947356
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947456,-75.435867,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.435867,4.947456
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947529,-75.435299,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.435299,4.947529
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947628,-75.435561,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.435561,4.947628
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947744,-75.436598,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.436598,4.947744
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947785,-75.438518,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.438518,4.947785
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947809,-75.435479,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.435479,4.947809
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947888,-75.436192,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.436192,4.947888
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947889,-75.435751,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.435751,4.947889
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.94793,-75.438184,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.438184,4.94793
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947941,-75.437274,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.437274,4.947941
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947988,-75.436643,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.436643,4.947988
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.947997,-75.436301,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.436301,4.947997
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.948142,-75.436309,Oro-Au,Oro-Au,Epitermal,ROCA_METAMÓRFICA,-75.436309,4.948142
